Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
ADHD,"Clonidine,Bupropion,Vyvanse,Dexmethylphenidate,Amphetamine / dextroamphetamine,Adderall,Aptensio XR,Atomoxetine,Lisdexamfetamine,Focalin XR,Concerta,Guanfacine,Ritalin,Amphetamine,Methylphenidate,Dextroamphetamine,Strattera,Adzenys XR-ODT,Adderall XR,Daytrana,Methylin,Focalin,Omega-3 polyunsaturated fatty acids,Dexedrine,Metadate ER,Metadate CD,Wellbutrin XL,Intuniv,Armodafinil,Evekeo,Kapvay,Pristiq,Dyanavel XR,Quillivant XR,Methamphetamine,Desoxyn,Desvenlafaxine,Ritalin LA,Dextrostat,Cylert,Modafinil,Provigil,Mydayis,Nuvigil,Methylin ER,Pemoline",Attention deficit hyperactivity disorder,Inattention carelessness hyperactivity executive dysfunction disinhibition emotional dysregulation impulsivity impaired working memory,134,46,inattention carelessness hyperactivity executive dysfunction disinhibition emotional dysregulation impulsivity impaired working memory
AIDS Related Wasting,Serostim,HIV/AIDS,"Early : Flu-like illness Later : Large lymph nodes , fever, weight loss",71,1,early flulike illness later large lymph node fever weight loss
Abnormal Uterine Bleeding,"Ethinyl estradiol / levonorgestrel,Mirena,Levonorgestrel,Medroxyprogesterone,Depo-Provera,Tri-Sprintec,Levlen,Alesse,Junel Fe 1 / 20,Ortho Tri-Cyclen Lo,Aviane,Ethinyl estradiol / norethindrone,Sprintec,Necon 1 / 50,Ethinyl estradiol / norgestimate,Norethindrone,Loestrin 24 Fe,Megestrol,Estarylla,Chateal,Falmina,Seasonique,Desogestrel / ethinyl estradiol,Ortho Tri-Cyclen,Ethinyl estradiol / norgestrel,Nora-Be,Ortho Cyclen,Provera,Levora,Jolessa,Ortho Micronor,TriNessa,LoSeasonique,Seasonale,Mononessa,Ovcon 35,Conjugated estrogens,Previfem",Abnormal uterine bleeding,"Irregular, abnormally frequent, prolonged, or excessive amounts of uterine bleeding",83,38,irregular abnormally frequent prolonged excessive amount uterine bleeding
Abortion,Misoprostol,,nan,3,1,nan
Acetaminophen Overdose,Mucomyst-10,Paracetamol poisoning,"Early : Non specific, feeling tired, abdominal pain , nausea Later : Yellowish skin , blood clotting problems , confusion",121,1,early non specific feeling tired abdominal pain nausea later yellowish skin blood clotting problem confusion
Acne,"Clindamycin,Beyaz,Yasmin,Spironolactone,Ziana,Adapalene / benzoyl peroxide,Accutane,Tretinoin,Benzoyl peroxide / erythromycin,Minocycline,Junel Fe 1 / 20,Doxycycline,Isotretinoin,Epiduo,Benzoyl peroxide / clindamycin,Dapsone,Clindamycin / tretinoin,Differin,Sulfamethoxazole / trimethoprim,Ethinyl estradiol / norgestimate,Yaz,Duac,Adapalene,Bactrim,Azelaic acid,Ethinyl estradiol / norethindrone,Claravis,Aldactone,Altabax,Tazorac,Drospirenone / ethinyl estradiol,Aczone,Gianvi,Solodyn,Zenatane,Sulfacetamide sodium / sulfur,Retin-A,Desquam-X Wash,Tri-Sprintec,Minocin,Sotret,Inova 4 / 1,Veltin,TriNessa,Retapamulin,Doryx,Loestrin 24 Fe,Microgestin Fe 1 / 20,Monodox,Acanya,Benzoyl peroxide / sulfur,Gildess Fe 1.5 / 30,Atralin,Gildess Fe 1 / 20,Salicylic acid / sulfur,Benzaclin,Necon 1 / 35,Tazarotene,Ocella,Ortho Tri-Cyclen,BenzEFoam Ultra,Amnesteem,Necon 7 / 7 / 7,Loryna,femhrt,Absorica,Bactrim DS,Drospirenone / ethinyl estradiol / levomefolate calcium,NuOx,Benzoyl peroxide,Acnex,Onexton,Cephalexin,Tetracycline,Vanoxide-HC,Azelex,Phillips' Milk of Magnesia,Vibramycin,Finacea,BenzEFoam,Clarifoam EF,Adoxa",Acne,"Blackheads, whiteheads , pimples , oily skin, scarring",54,82,blackhead whitehead pimple oily skin scarring
Actinic Keratosis,"Fluorouracil,Carac,Efudex",Actinic keratosis,"['Actinic keratoses (AKs) most commonly present as a white', 'scaly plaque of variable thickness with surrounding redness; they are most notable for having a sandpaper-like texture when felt with a gloved hand. Skin nearby the lesion often shows evidence of solar damage characterized by notable pigmentary alterations', 'being yellow or pale in color with areas of hyperpigmentation; deep wrinkles', 'coarse texture', 'purpura and ecchymoses ', 'dry skin ', 'and scattered telangiectasias are also characteristic.']",516,3,actinic keratoses ak commonly present white scaly plaque variable thickness surrounding redness notable sandpaperlike texture felt gloved hand skin nearby lesion often show evidence solar damage characterized notable pigmentary alteration yellow pale color area hyperpigmentation deep wrinkle coarse texture purpura ecchymosis dry skin scattered telangiectasias also characteristic
Acute Coronary Syndrome,"Brilinta,Ticagrelor,Prasugrel",Acute coronary syndrome,"['Symptoms of the acute coronary syndromes are similar. The cardinal symptom of critically decreased blood flow to the heart is chest pain ', 'experienced as tightness', 'pressure', 'or burning. Localisation is most commonly around or over the chest and may radiate or be located to the arm', 'shoulder', 'neck', 'back', 'upper abdomen', 'or jaw. This may be associated with sweating ', 'nausea ', 'or shortness of breath . Previously', 'the word ""atypical"" was used to describe chest pain not typically heart-related', 'however this word is not recommended and has been replaced by ""noncardiac"" to describe chest pain that indicate a low likelihood of heart-related pain.']",674,3,symptom acute coronary syndrome similar cardinal symptom critically decreased blood flow heart chest pain experienced tightness pressure burning localisation commonly around chest may radiate located arm shoulder neck back upper abdomen jaw may associated sweating nausea shortness breath previously word atypical used describe chest pain typically heartrelated however word recommended replaced noncardiac describe chest pain indicate low likelihood heartrelated pain
Acute Lymphoblastic Leukemia,Sprycel,Acute lymphoblastic leukemia,"Feeling tired, pale color, fever, easy bleeding or bruising, bone pain, enlarged lymph nodes",92,1,feeling tired pale color fever easy bleeding bruising bone pain enlarged lymph node
Acute Nonlymphocytic Leukemia,Accutane,Acute myeloid leukemia,"Feeling tired, shortness of breath , easy bruising and bleeding, increased risk of infection",92,1,feeling tired shortness breath easy bruising bleeding increased risk infection
Acute Promyelocytic Leukemia,Tretinoin,Acute promyelocytic leukemia,['The symptoms tend to be similar to AML in general with the following being possible symptoms:'],97,1,symptom tend similar aml general following possible symptom
Addison's Disease,"Florinef Acetate,Dexamethasone",Addison's disease,"Abdominal pain, weakness, weight loss, darkening of the skin",60,2,abdominal pain weakness weight loss darkening skin
Adrenocortical Insufficiency,"Hydrocortisone,Cortef",Adrenal insufficiency,"['Signs and symptoms include: hypoglycemia ', 'hyperpigmentation ', 'dehydration ', 'weight loss ', 'and disorientation . Additional signs and symptoms include weakness', 'tiredness', 'dizziness', 'low blood pressure that falls further when standing ( orthostatic hypotension )', 'cardiovascular collapse ', 'muscle aches ', 'nausea ', 'vomiting ', ""and diarrhea . These problems may develop gradually and insidiously. Addison's disease can present with tanning of the skin that may be patchy or even all over the body. Characteristic sites of tanning are skin creases (e.g. of the hands) and the inside of the cheek ( buccal mucosa ). Goitre and vitiligo may also be present. Eosinophilia may also occur. Hyponatremia is a sign of secondary insufficiency.""]",758,2,sign symptom include hypoglycemia hyperpigmentation dehydration weight loss disorientation additional sign symptom include weakness tiredness dizziness low blood pressure fall standing orthostatic hypotension cardiovascular collapse muscle ache nausea vomiting diarrhea problem may develop gradually insidiously addisons disease present tanning skin may patchy even body characteristic site tanning skin crease eg hand inside cheek buccal mucosa goitre vitiligo may also present eosinophilia may also occur hyponatremia sign secondary insufficiency
Adult Human Growth Hormone Deficiency,Somatropin,Growth hormone deficiency,Short height,12,1,short height
Agitated State,"Aripiprazole,Abilify",Psychosis,"False beliefs , seeing or hearing things that others do not see or hear , incoherent speech and behavior",104,2,false belief seeing hearing thing others see hear incoherent speech behavior
Agitation,"Olanzapine,Loxapine,Citalopram",Psychomotor agitation,"['People experiencing psychomotor agitation may feel the following emotions or do the following actions. Some of these actions are not inherently bad or maladaptive', 'but they can have maladaptively excessive versions. For example', 'self-hugging can be therapeutically advisable', 'but self-hugging as a component of a set of motor agitation movements is a sign of psychomotor agitation.']",391,3,people experiencing psychomotor agitation may feel following emotion following action action inherently bad maladaptive maladaptively excessive version example selfhugging therapeutically advisable selfhugging component set motor agitation movement sign psychomotor agitation
Alcohol Dependence,"Campral,Acamprosate,Disulfiram,Antabuse,Naltrexone,Vivitrol",Alcoholism,"Drinking large amounts of alcohol over a long period, difficulty cutting down, acquiring and drinking alcohol taking up a lot of time, usage resulting in problems, withdrawal occurring when stopping",198,6,drinking large amount alcohol long period difficulty cutting acquiring drinking alcohol taking lot time usage resulting problem withdrawal occurring stopping
Alcohol Withdrawal,"Chlordiazepoxide,Baclofen,Tranxene,Gabapentin,Librium,Valium,Diazepam,Oxazepam,Serax",Alcohol withdrawal syndrome,"Anxiety , shakiness , sweating, vomiting, fast heart rate , mild fever",70,9,anxiety shakiness sweating vomiting fast heart rate mild fever
Allergic Reactions,"Benadryl,Cyproheptadine,Triamcinolone,Chlorpheniramine,Aristocort,Q-Dryl,Dexchlorpheniramine,Diphenhydramine,Prednisone,Promethazine,Benadryl Allergy,Phenergan,Chlor-Trimeton",Allergy,"Red eyes , itchy rash, vomiting, runny nose , shortness of breath , swelling, sneezing , and cough.",99,13,red eye itchy rash vomiting runny nose shortness breath swelling sneezing cough
Allergic Rhinitis,"Nasonex,Acetaminophen / dexbrompheniramine / pseudoephedrine,Azelastine / fluticasone,Singulair,Desloratadine,Cetirizine,Loratadine / pseudoephedrine,Mometasone,Kenalog-40,Promethazine,Astelin,Patanase,Levocetirizine,Dymista,Azelastine,Zyrtec,Flonase,Nasacort Allergy 24HR,Fexofenadine / pseudoephedrine,Loratadine,Fexofenadine,Allegra,Flunisolide,Nasacort,Chlorpheniramine / phenylephrine,Actifed,Beclomethasone,Xyzal,Dexbrompheniramine / pseudoephedrine,Montelukast,Cetirizine / pseudoephedrine,Astepro,Triamcinolone,Chlorpheniramine / pseudoephedrine,QNASL,Acrivastine / pseudoephedrine,Rynatan,Chlorpheniramine,Ciclesonide,Olopatadine,Zyrtec-D,Deconamine,Brompheniramine,Diphenhydramine,Chlor-Trimeton,Alahist LQ,Fluticasone,Carbinoxamine,Pseudoephedrine / triprolidine,Children's Claritin Allergy,Allegra-D 24 Hour,Claritin,Budesonide,Claritin-D,Cyproheptadine,Omnaris,Allegra-D 12 Hour,Drixoral Cold and Allergy,Methylprednisolone,Clarinex",Allergic rhinitis,"Stuffy itchy nose, sneezing , red, itchy, and watery eyes, swelling around the eyes, itchy ears",95,60,stuffy itchy nose sneezing red itchy watery eye swelling around eye itchy ear
Allergic Urticaria,Hydroxyzine,Hives,"Red, raised, itchy bumps",24,1,red raised itchy bump
Allergies,"Xyzal,Levocetirizine,Hydroxyzine,Atarax",Allergy,"Red eyes , itchy rash, vomiting, runny nose , shortness of breath , swelling, sneezing , and cough.",99,4,red eye itchy rash vomiting runny nose shortness breath swelling sneezing cough
Alopecia,"Minoxidil,Spironolactone,Rogaine,Rogaine Women's,Triamcinolone,Kenalog-10,Rogaine Men's Extra Strength",Hair loss,Loss of hair from part of the head or body.,43,7,loss hair part head body
Alpha-1 Proteinase Inhibitor Deficiency,"Alpha 1-proteinase inhibitor,Zemaira",Alpha-1 antitrypsin deficiency,"Shortness of breath , wheezing , yellowish skin",47,2,shortness breath wheezing yellowish skin
Alzheimer's Disease,"Aricept,Galantamine,Exelon,Rivastigmine,Donepezil,Memantine",Alzheimer's disease,"Memory loss , problems with language , disorientation , mood swings",67,6,memory loss problem language disorientation mood swing
Amebiasis,Tinidazole,Amoebiasis,"Bloody diarrhea , abdominal pain",32,1,bloody diarrhea abdominal pain
Amenorrhea,"Medroxyprogesterone,Provera,Depo-Provera,Norethindrone,Prometrium",Hypoestrogenism,"['Presentations of low estrogen levels include hot flashes', 'which are sudden', 'intense feelings of heat predominantly in the upper body', 'causing the skin to redden as if blushing. They are believed to occur due to the narrowing of the thermonuclear zone in the hypothalamus ', 'making the body more sensitive to body temperature changes. Night disturbances are also common symptoms associated with hypoestrogenism. People may experience difficulty falling asleep', 'waking up several times a night', 'and early awakening with different variability between races and ethnic groups.']",587,5,presentation low estrogen level include hot flash sudden intense feeling heat predominantly upper body causing skin redden blushing believed occur due narrowing thermonuclear zone hypothalamus making body sensitive body temperature change night disturbance also common symptom associated hypoestrogenism people may experience difficulty falling asleep waking several time night early awakening different variability race ethnic group
Anal Fissure and Fistula,"Nitroglycerin,Rectiv",Anal fistula,['Anal fistulae can present with the following symptoms:'],58,2,anal fistula present following symptom
Anal Itching,"Clobetasol,Zinc oxide,Hydrocortisone,Sarna Sensitive",Candidiasis,"White patches or vaginal discharge, itching",43,4,white patch vaginal discharge itching
Androgenetic Alopecia,"Finasteride,Propecia",Pattern hair loss,['Pattern hair loss is classified as a form of non-scarring hair loss.'],72,2,pattern hair loss classified form nonscarring hair loss
Anemia,"Epoetin alfa,Multivitamin with iron,Maxaron Forte,Procrit",Anemia,"Feeling tired , pale skin , weakness, shortness of breath , feeling faint",73,4,feeling tired pale skin weakness shortness breath feeling faint
Anemia Associated with Chronic Renal Failure,"Darbepoetin alfa,Procrit,Aranesp,Epogen,Sodium ferric gluconate complex,Feosol Original,Ferrous sulfate",Chronic kidney disease,"Early : None Later : Leg swelling , feeling tired, vomiting , loss of appetite, confusion",89,7,early none later leg swelling feeling tired vomiting loss appetite confusion
"Anemia, Chemotherapy Induced",Aranesp,Aplastic anemia,"pale skin , fatigue , fast heart rate , rash , dizziness , headache , frequent or prolonged infections , nosebleeds , bleeding gums, prolonged bleeding from cuts, unexplained or easy bruising, hematoma",201,1,pale skin fatigue fast heart rate rash dizziness headache frequent prolonged infection nosebleed bleeding gum prolonged bleeding cut unexplained easy bruising hematoma
"Anemia, Sickle Cell","Hydrea,Hydroxyurea",Sickle cell disease,"Attacks of pain, anemia , swelling in the hands and feet , bacterial infections , stroke",88,2,attack pain anemia swelling hand foot bacterial infection stroke
Anesthesia,"Propofol,Lidocaine,Diprivan,Rocuronium,Ketamine,Oraqix,Butorphanol,Lidocaine / prilocaine",,nan,3,8,nan
Angina,"Ranolazine,Ranexa,Lopressor,Metoprolol,Nitrolingual Pumpspray,Imdur,Isosorbide mononitrate",Angina,"['Angina pectoris can be quite painful', 'but many patients with angina complain of chest discomfort rather than actual pain: the discomfort is usually described as a pressure', 'heaviness', 'tightness', 'squeezing', 'burning', 'or choking sensation. Apart from chest discomfort', 'anginal pains may also be experienced in the epigastrium (upper central abdomen)', 'back', 'neck area', 'jaw', ""or shoulders. This is explained by the concept of referred pain and is because the spinal level that receives visceral sensation from the heart simultaneously receives cutaneous sensation from parts of the skin specified by that spinal nerve's dermatome "", 'without an ability to discriminate the two. Typical locations for referred pain are arms (often inner left arm)', 'shoulders', 'and neck into the jaw. Angina is typically precipitated by exertion or emotional stress. It is exacerbated by having a full stomach and by cold temperatures. Pain may be accompanied by breathlessness', 'sweating', 'and nausea in some cases. In this case', 'the pulse rate and the blood pressure increases. Chest pain lasting only a few seconds is normally not angina (such as precordial catch syndrome ).']",1186,7,angina pectoris quite painful many patient angina complain chest discomfort rather actual pain discomfort usually described pressure heaviness tightness squeezing burning choking sensation apart chest discomfort anginal pain may also experienced epigastrium upper central abdomen back neck area jaw shoulder explained concept referred pain spinal level receives visceral sensation heart simultaneously receives cutaneous sensation part skin specified spinal nerve dermatome without ability discriminate two typical location referred pain arm often inner left arm shoulder neck jaw angina typically precipitated exertion emotional stress exacerbated full stomach cold temperature pain may accompanied breathlessness sweating nausea case case pulse rate blood pressure increase chest pain lasting second normally angina precordial catch syndrome
Angina Pectoris Prophylaxis,"Isosorbide mononitrate,Imdur",Aortic stenosis,"Decreased ability to exercise, loss of consciousness , shortness of breath , heart related chest pain , leg swelling",116,2,decreased ability exercise loss consciousness shortness breath heart related chest pain leg swelling
Ankylosing Spondylitis,"Etanercept,Indocin SR,Diclofenac,Indomethacin,Adalimumab,Infliximab,Cosentyx,Simponi,Humira,Enbrel,Secukinumab,Golimumab,Vimovo,Naprosyn,Naproxen,Certolizumab",Ankylosing spondylitis,"Back pain , joint stiffness",27,16,back pain joint stiffness
Anorexia,"Cyproheptadine,Dronabinol,Marinol",Anorexia nervosa,"Fear of gaining weight, strong desire to be thin, food restrictions , body image disturbance",92,3,fear gaining weight strong desire thin food restriction body image disturbance
Anthrax,Doxycycline,Anthrax,"Skin form : small blister with surrounding swelling Inhalational form : fever, chest pain, shortness of breath Intestinal form : nausea, vomiting, diarrhea, abdominal pain Injection form : fever, abscess",203,1,skin form small blister surrounding swelling inhalational form fever chest pain shortness breath intestinal form nausea vomiting diarrhea abdominal pain injection form fever abscess
