,Disease,Prescribed_for,DrugName_list
0,Attention deficit hyperactivity disorder,ADHD,"['Clonidine', 'Bupropion', 'Vyvanse', 'Dexmethylphenidate', 'Amphetamine / dextroamphetamine', 'Adderall', 'Aptensio XR', 'Atomoxetine', 'Lisdexamfetamine', 'Focalin XR', 'Concerta', 'Guanfacine', 'Ritalin', 'Amphetamine', 'Methylphenidate', 'Dextroamphetamine', 'Strattera', 'Adzenys XR-ODT', 'Adderall XR', 'Daytrana', 'Methylin', 'Focalin', 'Omega-3 polyunsaturated fatty acids', 'Dexedrine', 'Metadate ER', 'Metadate CD', 'Wellbutrin XL', 'Intuniv', 'Armodafinil', 'Evekeo', 'Kapvay', 'Pristiq', 'Dyanavel XR', 'Quillivant XR', 'Methamphetamine', 'Desoxyn', 'Desvenlafaxine', 'Ritalin LA', 'Dextrostat', 'Cylert', 'Modafinil', 'Provigil', 'Mydayis', 'Nuvigil', 'Methylin ER', 'Pemoline']"
1,HIV/AIDS,AIDS Related Wasting,['Serostim']
2,Abnormal uterine bleeding,Abnormal Uterine Bleeding,"['Ethinyl estradiol / levonorgestrel', 'Mirena', 'Levonorgestrel', 'Medroxyprogesterone', 'Depo-Provera', 'Tri-Sprintec', 'Levlen', 'Alesse', 'Junel Fe 1 / 20', 'Ortho Tri-Cyclen Lo', 'Aviane', 'Ethinyl estradiol / norethindrone', 'Sprintec', 'Necon 1 / 50', 'Ethinyl estradiol / norgestimate', 'Norethindrone', 'Loestrin 24 Fe', 'Megestrol', 'Estarylla', 'Chateal', 'Falmina', 'Seasonique', 'Desogestrel / ethinyl estradiol', 'Ortho Tri-Cyclen', 'Ethinyl estradiol / norgestrel', 'Nora-Be', 'Ortho Cyclen', 'Provera', 'Levora', 'Jolessa', 'Ortho Micronor', 'TriNessa', 'LoSeasonique', 'Seasonale', 'Mononessa', 'Ovcon 35', 'Conjugated estrogens', 'Previfem']"
3,,Abortion,['Misoprostol']
4,Paracetamol poisoning,Acetaminophen Overdose,['Mucomyst-10']
5,Acne,Acne,"['Clindamycin', 'Beyaz', 'Yasmin', 'Spironolactone', 'Ziana', 'Adapalene / benzoyl peroxide', 'Accutane', 'Tretinoin', 'Benzoyl peroxide / erythromycin', 'Minocycline', 'Junel Fe 1 / 20', 'Doxycycline', 'Isotretinoin', 'Epiduo', 'Benzoyl peroxide / clindamycin', 'Dapsone', 'Clindamycin / tretinoin', 'Differin', 'Sulfamethoxazole / trimethoprim', 'Ethinyl estradiol / norgestimate', 'Yaz', 'Duac', 'Adapalene', 'Bactrim', 'Azelaic acid', 'Ethinyl estradiol / norethindrone', 'Claravis', 'Aldactone', 'Altabax', 'Tazorac', 'Drospirenone / ethinyl estradiol', 'Aczone', 'Gianvi', 'Solodyn', 'Zenatane', 'Sulfacetamide sodium / sulfur', 'Retin-A', 'Desquam-X Wash', 'Tri-Sprintec', 'Minocin', 'Sotret', 'Inova 4 / 1', 'Veltin', 'TriNessa', 'Retapamulin', 'Doryx', 'Loestrin 24 Fe', 'Microgestin Fe 1 / 20', 'Monodox', 'Acanya', 'Benzoyl peroxide / sulfur', 'Gildess Fe 1.5 / 30', 'Atralin', 'Gildess Fe 1 / 20', 'Salicylic acid / sulfur', 'Benzaclin', 'Necon 1 / 35', 'Tazarotene', 'Ocella', 'Ortho Tri-Cyclen', 'BenzEFoam Ultra', 'Amnesteem', 'Necon 7 / 7 / 7', 'Loryna', 'femhrt', 'Absorica', 'Bactrim DS', 'Drospirenone / ethinyl estradiol / levomefolate calcium', 'NuOx', 'Benzoyl peroxide', 'Acnex', 'Onexton', 'Cephalexin', 'Tetracycline', 'Vanoxide-HC', 'Azelex', ""Phillips' Milk of Magnesia"", 'Vibramycin', 'Finacea', 'BenzEFoam', 'Clarifoam EF', 'Adoxa']"
6,Actinic keratosis,Actinic Keratosis,"['Fluorouracil', 'Carac', 'Efudex']"
7,Acute coronary syndrome,Acute Coronary Syndrome,"['Brilinta', 'Ticagrelor', 'Prasugrel']"
8,Acute lymphoblastic leukemia,Acute Lymphoblastic Leukemia,['Sprycel']
9,Acute myeloid leukemia,Acute Nonlymphocytic Leukemia,['Accutane']
10,Acute promyelocytic leukemia,Acute Promyelocytic Leukemia,['Tretinoin']
11,Addison's disease,Addison's Disease,"['Florinef Acetate', 'Dexamethasone']"
12,Adrenal insufficiency,Adrenocortical Insufficiency,"['Hydrocortisone', 'Cortef']"
13,Growth hormone deficiency,Adult Human Growth Hormone Deficiency,['Somatropin']
