,Disease,Preprocessed_Symptoms
0,Attention deficit hyperactivity disorder,inattention carelessness hyperactivity executive dysfunction disinhibition emotional dysregulation impulsivity impaired working memory
1,HIV/AIDS,early flulike illness later large lymph node fever weight loss
2,Abnormal uterine bleeding,irregular abnormally frequent prolonged excessive amount uterine bleeding
4,Paracetamol poisoning,early non specific feeling tired abdominal pain nausea later yellowish skin blood clotting problem confusion
5,Acne,blackhead whitehead pimple oily skin scarring
6,Actinic keratosis,actinic keratoses ak commonly present white scaly plaque variable thickness surrounding redness notable sandpaperlike texture felt gloved hand skin nearby lesion often show evidence solar damage characterized notable pigmentary alteration yellow pale color area hyperpigmentation deep wrinkle coarse texture purpura ecchymosis dry skin scattered telangiectasias also characteristic
7,Acute coronary syndrome,symptom acute coronary syndrome similar cardinal symptom critically decreased blood flow heart chest pain experienced tightness pressure burning localisation commonly around chest may radiate located arm shoulder neck back upper abdomen jaw may associated sweating nausea shortness breath previously word atypical used describe chest pain typically heartrelated however word recommended replaced noncardiac describe chest pain indicate low likelihood heartrelated pain
8,Acute lymphoblastic leukemia,feeling tired pale color fever easy bleeding bruising bone pain enlarged lymph node
9,Acute myeloid leukemia,feeling tired shortness breath easy bruising bleeding increased risk infection
10,Acute promyelocytic leukemia,symptom tend similar aml general following possible symptom
11,Addison's disease,abdominal pain weakness weight loss darkening skin
12,Adrenal insufficiency,sign symptom include hypoglycemia hyperpigmentation dehydration weight loss disorientation additional sign symptom include weakness tiredness dizziness low blood pressure fall standing orthostatic hypotension cardiovascular collapse muscle ache nausea vomiting diarrhea problem may develop gradually insidiously addisons disease present tanning skin may patchy even body characteristic site tanning skin crease eg hand inside cheek buccal mucosa goitre vitiligo may also present eosinophilia may also occur hyponatremia sign secondary insufficiency
13,Growth hormone deficiency,short height
14,Psychosis,false belief seeing hearing thing others see hear incoherent speech behavior
15,Psychomotor agitation,people experiencing psychomotor agitation may feel following emotion following action action inherently bad maladaptive maladaptively excessive version example selfhugging therapeutically advisable selfhugging component set motor agitation movement sign psychomotor agitation
16,Alcoholism,drinking large amount alcohol long period difficulty cutting acquiring drinking alcohol taking lot time usage resulting problem withdrawal occurring stopping
17,Alcohol withdrawal syndrome,anxiety shakiness sweating vomiting fast heart rate mild fever
18,Allergy,red eye itchy rash vomiting runny nose shortness breath swelling sneezing cough
19,Allergic rhinitis,stuffy itchy nose sneezing red itchy watery eye swelling around eye itchy ear
20,Hives,red raised itchy bump
21,Allergy,red eye itchy rash vomiting runny nose shortness breath swelling sneezing cough
22,Hair loss,loss hair part head body
23,Alpha-1 antitrypsin deficiency,shortness breath wheezing yellowish skin
24,Alzheimer's disease,memory loss problem language disorientation mood swing
25,Amoebiasis,bloody diarrhea abdominal pain
